Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
KNN,mfeat_fac,9,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,10,0.95,0.949674208974594,0.95,0.951497303865725
KNN,mfeat_fac,10,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,10,0.975,0.9746847088310502,0.975,0.9766233766233768
KNN,mfeat_fac,11,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,10,0.95,0.9498686430765422,0.95,0.9537496409006708
KNN,mfeat_fac,12,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,10,0.95,0.9498371375370808,0.95,0.9526103709634468
KNN,mfeat_fac,13,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,10,0.925,0.9248220939684356,0.925,0.9276640129736105
KNN,mfeat_fac,14,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,10,0.945,0.944897548607433,0.945,0.9495238095238095
KNN,mfeat_fac,15,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,10,0.975,0.9751125703564728,0.975,0.975952380952381
KNN,mfeat_fac,16,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,10,0.965,0.9646893970385626,0.965,0.9663059163059162
KNN,mfeat_fac,17,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,10,0.955,0.954686270084216,0.955,0.9565440115440116
KNN,mfeat_fac,18,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,18,10,0.945,0.9443851261437912,0.945,0.9464553093964858
KNN,mfeat_fac,19,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,19,10,0.96,0.9598592870544088,0.96,0.960689223057644
KNN,mfeat_fac,20,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,20,10,0.94,0.939599749843652,0.94,0.9398997493734336
KNN,mfeat_fac,21,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,21,10,0.935,0.9351351545231594,0.935,0.9374359152162356
KNN,mfeat_fac,22,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,22,10,0.965,0.9648337306681338,0.965,0.9663852813852816
KNN,mfeat_fac,23,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,23,10,0.915,0.9149248590519452,0.915,0.9162090833143464
KNN,mfeat_fac,24,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,24,10,0.945,0.9448029078324328,0.945,0.9466886914255336
KNN,mfeat_fac,25,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,25,10,0.96,0.9603765212109244,0.96,0.9638095238095238
KNN,mfeat_fac,26,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,5,1.0,1.0,1.0,1.0
